desenho,n_sujeitos,auc_agrupada_sob_nulo,erro_tipo1_antigo,antigo_ic_low,antigo_ic_high,erro_tipo1_novo,novo_ic_low,novo_ic_high,n_cal,n_boot
"ANESTESIA (basal vs moderada, LZc resid. 1/f)",20,0.4971936667225157,0.055,0.030985020801370097,0.0957879244659355,0.04,0.02040538715065641,0.07693293829419882,200,1000
"SONO (N3 vs W, LZc resid. 1/f)",36,0.5828310154156536,1.0,0.9811539940816791,1.0,0.07,0.04215178292291873,0.11405578216683726,200,1000
