desenho,n_sujeitos,erro_tipo1,ic95_low,ic95_high,n_cal
"SONO (W vs N3, LZc resid. 1/f)",36,1.0,0.9873565700022643,0.9999999999999999,300
"ANESTESIA (basal vs moderada, LZc resid. 1/f)",20,0.25666666666666665,0.21053255254583536,0.30895391671972927,300
