desenho,n_epocas,metrica_x_estado,expoente_x_estado,metrica_x_expoente,caminho_indireto,padrao
ANESTESIA — LZc,1506,0.2933576316692367,0.07128051061009966,-0.788462654672171,-0.056202020622027025,SUPRESSAO
SONO — LZc,12895,0.786698504306804,-0.79001259687226,-0.8751262725300916,0.6913607791526387,CONFUNDIMENTO/MEDIACAO
SONO — PE,12895,0.774095181836493,-0.79001259687226,-0.888065955454896,0.7015832916627671,CONFUNDIMENTO/MEDIACAO
