grupo,n_sujeitos,lzc_basal,lzc_sedacao_moderada,pe_basal,pe_sedacao_moderada,auc_lzc_basal_vs_moderada_positivo_moderada,auc_pe_basal_vs_moderada_positivo_moderada
responsive,13,0.42313971767610253,0.4759444334266961,0.690883028854085,0.7031020161374228,0.7913598839803659,0.6423113087269714
drowsy,7,0.4236206493077627,0.3994941219446994,0.6933450897956844,0.6781931522428291,0.41090754422722475,0.2831802643393878
