regime,C_idx_mean,C_idx_max,Psi_eff_mean,Q_mean,M_final,B_mean,level_mode
wake,0.5590562711985733,0.6608647537635827,0.2939707995359551,0.8339010862478102,2.0,0.883762604837079,3
anxiety,0.5221990824951415,0.6036518567178242,0.1698929209886807,0.9002115797515914,2.0,0.8150097957649525,3
deep_sleep,0.3805978767336964,0.4314526975616813,0.2283651916218249,0.4596231741142135,0.2223583468533994,0.9063256442213812,2
reflex,0.2945898137979461,0.4158578304996996,0.1551613446968229,0.3683296251891055,0.0398540205523829,0.8194087031734035,2
