regime,C_idx_mean,C_idx_max,Psi_eff_mean,Q_mean,M_final,B_mean,level_mode
wake,0.5590562711985733,0.6608647537635827,0.2939707995359551,0.8339010862478102,2.0,0.883762604837079,3
anxiety,0.5221990824951415,0.6036518567178242,0.16989292098868078,0.9002115797515914,2.0,0.8150097957649525,3
deep_sleep,0.3805978767336964,0.43145269756168136,0.22836519162182498,0.45962317411421355,0.22235834685339945,0.9063256442213812,2
reflex,0.2945898137979461,0.4158578304996996,0.1551613446968229,0.3683296251891055,0.03985402055238293,0.8194087031734035,2
