regime,C_idx_mean,C_idx_max,Psi_eff_mean,B_mean,Q_mean,M_final,level_mode
wake,0.6430346868472242,0.7382546389044018,0.47845989437206576,0.9085710839949134,0.8895709645472296,1.896020860772273,4
anxiety,0.5487854849539652,0.640144555324291,0.3118937806891362,0.8642384425585403,0.8592477674560483,1.6280490437002466,4
deep_sleep,0.3695582323428653,0.4558864504036699,0.20788046428663723,0.9188469986114732,0.44996915318021613,0.1443319577606634,2
reflex,0.3139345909865026,0.42885913062374315,0.15437446269570534,0.8796567893599265,0.38712090986876163,0.041960849785201766,2
