coupling_gain,C_idx_mean,C_idx_sd,dC_dB,d2C_dB2,saturation_flag
0.1,0.5183681889942845,0.017888296930920523,0.012136072785187135,-0.025975079032529713,True
0.2,0.5195817962728032,0.014330950387550709,0.009538564881934164,0.17173483565414266,False
0.3,0.5202759019706713,0.012167557797051547,0.046483039916015656,0.1701343509289278,False
0.4,0.5288784042560063,0.0122701145337452,0.043565435067719704,-0.1923147922641789,True
0.5,0.5289889889842153,0.01598586059677139,0.008020081463179896,0.124274171228036,False
0.6,0.5304824205486423,0.007502691140275692,0.0684202693133269,-0.14046431369654006,True
0.7,0.5426730428468807,0.014257188795113224,-0.020072781276128104,-0.690231523191225,True
0.7999999999999999,0.5264678642934166,0.007575558233066689,-0.06962603532491807,0.17090745434116933,False
0.8999999999999999,0.5287478357818971,0.006931573867780966,0.01410870959210575,0.5379336441355089,False
0.9999999999999999,0.5292896062118377,0.010145146851042753,0.03796069350218367,0.05449509898220575,False
1.0999999999999999,0.5363399744823338,0.007663517336554953,0.025007729388546895,-0.16373843339539274,True
1.2,0.5342911520895471,0.012880012456920826,0.005213006823105104,0.029532540927654616,False
1.3,0.5373825758469549,0.010972618449683539,0.030914237574077824,0.257012307509727,False
