variant,regime,run_id,C_idx_mean,Psi_eff_mean,B_mean,Q_mean,K_mean,R_mean,M_final,level_mode
full,wake,0,0.5919791216688598,0.45315205987841,0.8489402534058242,0.8257667775736842,0.014098240547720043,0.8285119451032779,1.3852336799753788,4
full,wake,1,0.5821694847193949,0.4392454099906693,0.8217232257933519,0.8306799093909146,0.02499285789668746,0.8060464549462664,1.3906247431644803,4
full,wake,2,0.5961292022525372,0.4565961474827281,0.8692572915762393,0.8207723995727987,0.025105328592225234,0.7990581691438379,1.3788019997878511,4
full,wake,3,0.5875568515586173,0.44814927866613985,0.8385553645846956,0.8244565796965481,0.02415871002271085,0.7930968415103816,1.3836567591794273,4
full,wake,4,0.6016666801228852,0.45226190809145256,0.8879345225014248,0.8377539119802235,0.03582195651441145,0.8271893103202675,1.3985053630476518,4
full,wake,5,0.6061679699684457,0.4542983638040236,0.9058332426496319,0.8388520140331867,0.021267288088899022,0.8240252954065479,1.3995785715516236,4
full,wake,6,0.5752775897367605,0.41840479215103893,0.8323341181269571,0.8320369900501627,0.0237810492026612,0.7957828196676134,1.3866635303032364,4
full,wake,7,0.5836946179160322,0.4447982179259126,0.8345078584020205,0.8173688235520343,0.020076766432666295,0.795427408884893,1.3735892739236286,4
full,wake,8,0.5932375631665067,0.45520896961641394,0.8501448107918287,0.8255753399945952,0.044759872614589316,0.7955991189372532,1.3832395796178374,4
full,wake,9,0.5981310122815788,0.44413795795703626,0.887449195550776,0.8377073222085857,0.0493784429581108,0.7850244305356316,1.396676794581477,4
full,deep_sleep,0,0.3498873812287479,0.2414866790873068,0.7224922482254962,0.4622327837264103,0.004420980014028385,0.7772715954785125,0.14878511401042496,2
full,deep_sleep,1,0.3745747901506247,0.25374806953259427,0.818002377751463,0.4709605790539344,0.0033857074065841365,0.8048072520024543,0.1505829773506721,3
full,deep_sleep,2,0.3910388149312253,0.25305964741163395,0.8973629669528119,0.4820880057265774,0.005684389701892531,0.7465020395297195,0.15353926827321535,3
