magnitude,trial,task,auc,w_mb,w_me,w_k,w_r,c_w_psi,c_w_q,c_w_m,c_w_b
0.0,0,wake_vs_deep_sleep,1.0,0.35,0.2,0.2,0.25,0.45,0.2,0.17,0.18
0.0,0,wake_vs_reflex,1.0,0.35,0.2,0.2,0.25,0.45,0.2,0.17,0.18
0.0,0,wake_vs_anxiety,1.0,0.35,0.2,0.2,0.25,0.45,0.2,0.17,0.18
0.0,0,wake_vs_nonwake,1.0,0.35,0.2,0.2,0.25,0.45,0.2,0.17,0.18
0.0,0,integrated_vs_low,1.0,0.35,0.2,0.2,0.25,0.45,0.2,0.17,0.18
0.05,0,wake_vs_deep_sleep,1.0,0.3595884616994587,0.19877756879504105,0.20717195839822766,0.2549342007264841,0.43173798065494423,0.2095124470327351,0.17443937493383602,0.18514915749498517
0.05,0,wake_vs_reflex,1.0,0.3595884616994587,0.19877756879504105,0.20717195839822766,0.2549342007264841,0.43173798065494423,0.2095124470327351,0.17443937493383602,0.18514915749498517
0.05,0,wake_vs_anxiety,0.9955555555555555,0.3595884616994587,0.19877756879504105,0.20717195839822766,0.2549342007264841,0.43173798065494423,0.2095124470327351,0.17443937493383602,0.18514915749498517
0.05,0,wake_vs_nonwake,0.9985185185185185,0.3595884616994587,0.19877756879504105,0.20717195839822766,0.2549342007264841,0.43173798065494423,0.2095124470327351,0.17443937493383602,0.18514915749498517
0.05,0,integrated_vs_low,1.0,0.3595884616994587,0.19877756879504105,0.20717195839822766,0.2549342007264841,0.43173798065494423,0.2095124470327351,0.17443937493383602,0.18514915749498517
0.05,1,wake_vs_deep_sleep,1.0,0.3369839771436441,0.19900771875791134,0.19741596048465163,0.26066912472121506,0.4564739304036299,0.20645523226541662,0.16903804138006465,0.17509029699212597
0.05,1,wake_vs_reflex,1.0,0.3369839771436441,0.19900771875791134,0.19741596048465163,0.26066912472121506,0.4564739304036299,0.20645523226541662,0.16903804138006465,0.17509029699212597
0.05,1,wake_vs_anxiety,1.0,0.3369839771436441,0.19900771875791134,0.19741596048465163,0.26066912472121506,0.4564739304036299,0.20645523226541662,0.16903804138006465,0.17509029699212597
0.05,1,wake_vs_nonwake,1.0,0.3369839771436441,0.19900771875791134,0.19741596048465163,0.26066912472121506,0.4564739304036299,0.20645523226541662,0.16903804138006465,0.17509029699212597
0.05,1,integrated_vs_low,1.0,0.3369839771436441,0.19900771875791134,0.19741596048465163,0.26066912472121506,0.4564739304036299,0.20645523226541662,0.16903804138006465,0.17509029699212597
0.05,2,wake_vs_deep_sleep,1.0,0.35191046754555416,0.19127634512208352,0.20655262343985165,0.2532916099780516,0.4616139483038418,0.19709051936259736,0.17800186641471338,0.18707618018379954
0.05,2,wake_vs_reflex,1.0,0.35191046754555416,0.19127634512208352,0.20655262343985165,0.2532916099780516,0.4616139483038418,0.19709051936259736,0.17800186641471338,0.18707618018379954
0.05,2,wake_vs_anxiety,1.0,0.35191046754555416,0.19127634512208352,0.20655262343985165,0.2532916099780516,0.4616139483038418,0.19709051936259736,0.17800186641471338,0.18707618018379954
0.05,2,wake_vs_nonwake,1.0,0.35191046754555416,0.19127634512208352,0.20655262343985165,0.2532916099780516,0.4616139483038418,0.19709051936259736,0.17800186641471338,0.18707618018379954
0.05,2,integrated_vs_low,1.0,0.35191046754555416,0.19127634512208352,0.20655262343985165,0.2532916099780516,0.4616139483038418,0.19709051936259736,0.17800186641471338,0.18707618018379954
0.05,3,wake_vs_deep_sleep,1.0,0.35974342239758167,0.19389277415703937,0.1993344200745407,0.23859509414468072,0.4344430271430397,0.20366097906484912,0.17416095665043288,0.1884151751838158
0.05,3,wake_vs_reflex,1.0,0.35974342239758167,0.19389277415703937,0.1993344200745407,0.23859509414468072,0.4344430271430397,0.20366097906484912,0.17416095665043288,0.1884151751838158
0.05,3,wake_vs_anxiety,1.0,0.35974342239758167,0.19389277415703937,0.1993344200745407,0.23859509414468072,0.4344430271430397,0.20366097906484912,0.17416095665043288,0.1884151751838158
0.05,3,wake_vs_nonwake,1.0,0.35974342239758167,0.19389277415703937,0.1993344200745407,0.23859509414468072,0.4344430271430397,0.20366097906484912,0.17416095665043288,0.1884151751838158
0.05,3,integrated_vs_low,1.0,0.35974342239758167,0.19389277415703937,0.1993344200745407,0.23859509414468072,0.4344430271430397,0.20366097906484912,0.17416095665043288,0.1884151751838158
0.05,4,wake_vs_deep_sleep,1.0,0.3439038875348353,0.19740919412069738,0.19939111622551617,0.24223678397710713,0.4333464677400962,0.19951409852451868,0.16535745893386505,0.1830566519042852
0.05,4,wake_vs_reflex,1.0,0.3439038875348353,0.19740919412069738,0.19939111622551617,0.24223678397710713,0.4333464677400962,0.19951409852451868,0.16535745893386505,0.1830566519042852
0.05,4,wake_vs_anxiety,1.0,0.3439038875348353,0.19740919412069738,0.19939111622551617,0.24223678397710713,0.4333464677400962,0.19951409852451868,0.16535745893386505,0.1830566519042852
0.05,4,wake_vs_nonwake,1.0,0.3439038875348353,0.19740919412069738,0.19939111622551617,0.24223678397710713,0.4333464677400962,0.19951409852451868,0.16535745893386505,0.1830566519042852
0.05,4,integrated_vs_low,1.0,0.3439038875348353,0.19740919412069738,0.19939111622551617,0.24223678397710713,0.4333464677400962,0.19951409852451868,0.16535745893386505,0.1830566519042852
0.05,5,wake_vs_deep_sleep,1.0,0.34780031716053156,0.20665356392115677,0.20400530204004497,0.24530916603455102,0.46495169106278406,0.20609528714993608,0.16808713244351298,0.17618990587074437
0.05,5,wake_vs_reflex,1.0,0.34780031716053156,0.20665356392115677,0.20400530204004497,0.24530916603455102,0.46495169106278406,0.20609528714993608,0.16808713244351298,0.17618990587074437
0.05,5,wake_vs_anxiety,1.0,0.34780031716053156,0.20665356392115677,0.20400530204004497,0.24530916603455102,0.46495169106278406,0.20609528714993608,0.16808713244351298,0.17618990587074437
0.05,5,wake_vs_nonwake,1.0,0.34780031716053156,0.20665356392115677,0.20400530204004497,0.24530916603455102,0.46495169106278406,0.20609528714993608,0.16808713244351298,0.17618990587074437
0.05,5,integrated_vs_low,1.0,0.34780031716053156,0.20665356392115677,0.20400530204004497,0.24530916603455102,0.46495169106278406,0.20609528714993608,0.16808713244351298,0.17618990587074437
0.05,6,wake_vs_deep_sleep,1.0,0.35638734263912414,0.1927950496721862,0.19399816404950218,0.23768405674377513,0.4629115969875962,0.20329701713184065,0.1734878114366477,0.18505312255839543
0.05,6,wake_vs_reflex,1.0,0.35638734263912414,0.1927950496721862,0.19399816404950218,0.23768405674377513,0.4629115969875962,0.20329701713184065,0.1734878114366477,0.18505312255839543
0.05,6,wake_vs_anxiety,1.0,0.35638734263912414,0.1927950496721862,0.19399816404950218,0.23768405674377513,0.4629115969875962,0.20329701713184065,0.1734878114366477,0.18505312255839543
0.05,6,wake_vs_nonwake,1.0,0.35638734263912414,0.1927950496721862,0.19399816404950218,0.23768405674377513,0.4629115969875962,0.20329701713184065,0.1734878114366477,0.18505312255839543
0.05,6,integrated_vs_low,1.0,0.35638734263912414,0.1927950496721862,0.19399816404950218,0.23768405674377513,0.4629115969875962,0.20329701713184065,0.1734878114366477,0.18505312255839543
0.05,7,wake_vs_deep_sleep,1.0,0.34856205214384184,0.20137482391905787,0.19279593996255318,0.24036325183839935,0.4575781332805713,0.19942192412286266,0.1711090138101802,0.18476997943348844
0.05,7,wake_vs_reflex,1.0,0.34856205214384184,0.20137482391905787,0.19279593996255318,0.24036325183839935,0.4575781332805713,0.19942192412286266,0.1711090138101802,0.18476997943348844
0.05,7,wake_vs_anxiety,1.0,0.34856205214384184,0.20137482391905787,0.19279593996255318,0.24036325183839935,0.4575781332805713,0.19942192412286266,0.1711090138101802,0.18476997943348844
0.05,7,wake_vs_nonwake,1.0,0.34856205214384184,0.20137482391905787,0.19279593996255318,0.24036325183839935,0.4575781332805713,0.19942192412286266,0.1711090138101802,0.18476997943348844
0.05,7,integrated_vs_low,1.0,0.34856205214384184,0.20137482391905787,0.19279593996255318,0.24036325183839935,0.4575781332805713,0.19942192412286266,0.1711090138101802,0.18476997943348844
0.05,8,wake_vs_deep_sleep,1.0,0.3547151412000207,0.2010715880131599,0.2011841432149083,0.24509875245156532,0.4288868025555573,0.19873434778464727,0.16514793943793202,0.17835351558704346
0.05,8,wake_vs_reflex,1.0,0.3547151412000207,0.2010715880131599,0.2011841432149083,0.24509875245156532,0.4288868025555573,0.19873434778464727,0.16514793943793202,0.17835351558704346
0.05,8,wake_vs_anxiety,1.0,0.3547151412000207,0.2010715880131599,0.2011841432149083,0.24509875245156532,0.4288868025555573,0.19873434778464727,0.16514793943793202,0.17835351558704346
0.05,8,wake_vs_nonwake,1.0,0.3547151412000207,0.2010715880131599,0.2011841432149083,0.24509875245156532,0.4288868025555573,0.19873434778464727,0.16514793943793202,0.17835351558704346
0.05,8,integrated_vs_low,1.0,0.3547151412000207,0.2010715880131599,0.2011841432149083,0.24509875245156532,0.4288868025555573,0.19873434778464727,0.16514793943793202,0.17835351558704346
0.05,9,wake_vs_deep_sleep,1.0,0.3623691075643858,0.19467878971730682,0.19116605483378135,0.2445345973005499,0.44071171909950074,0.2032383302945379,0.17096954658980176,0.18511016776391545
0.05,9,wake_vs_reflex,1.0,0.3623691075643858,0.19467878971730682,0.19116605483378135,0.2445345973005499,0.44071171909950074,0.2032383302945379,0.17096954658980176,0.18511016776391545
0.05,9,wake_vs_anxiety,1.0,0.3623691075643858,0.19467878971730682,0.19116605483378135,0.2445345973005499,0.44071171909950074,0.2032383302945379,0.17096954658980176,0.18511016776391545
0.05,9,wake_vs_nonwake,1.0,0.3623691075643858,0.19467878971730682,0.19116605483378135,0.2445345973005499,0.44071171909950074,0.2032383302945379,0.17096954658980176,0.18511016776391545
0.05,9,integrated_vs_low,1.0,0.3623691075643858,0.19467878971730682,0.19116605483378135,0.2445345973005499,0.44071171909950074,0.2032383302945379,0.17096954658980176,0.18511016776391545
0.05,10,wake_vs_deep_sleep,1.0,0.35575097391145855,0.19812773722880142,0.20628040769332068,0.2416743229976926,0.4285220432910238,0.19180095721551282,0.17378010896013968,0.17931379014452495
0.05,10,wake_vs_reflex,1.0,0.35575097391145855,0.19812773722880142,0.20628040769332068,0.2416743229976926,0.4285220432910238,0.19180095721551282,0.17378010896013968,0.17931379014452495
0.05,10,wake_vs_anxiety,1.0,0.35575097391145855,0.19812773722880142,0.20628040769332068,0.2416743229976926,0.4285220432910238,0.19180095721551282,0.17378010896013968,0.17931379014452495
0.05,10,wake_vs_nonwake,1.0,0.35575097391145855,0.19812773722880142,0.20628040769332068,0.2416743229976926,0.4285220432910238,0.19180095721551282,0.17378010896013968,0.17931379014452495
0.05,10,integrated_vs_low,1.0,0.35575097391145855,0.19812773722880142,0.20628040769332068,0.2416743229976926,0.4285220432910238,0.19180095721551282,0.17378010896013968,0.17931379014452495
0.05,11,wake_vs_deep_sleep,1.0,0.33814451226617603,0.20002089550206725,0.19304624205426338,0.2549080093769434,0.4475770324008314,0.19762042452192966,0.16662570551551392,0.18234508667614
0.05,11,wake_vs_reflex,1.0,0.33814451226617603,0.20002089550206725,0.19304624205426338,0.2549080093769434,0.4475770324008314,0.19762042452192966,0.16662570551551392,0.18234508667614
0.05,11,wake_vs_anxiety,1.0,0.33814451226617603,0.20002089550206725,0.19304624205426338,0.2549080093769434,0.4475770324008314,0.19762042452192966,0.16662570551551392,0.18234508667614
0.05,11,wake_vs_nonwake,1.0,0.33814451226617603,0.20002089550206725,0.19304624205426338,0.2549080093769434,0.4475770324008314,0.19762042452192966,0.16662570551551392,0.18234508667614
0.05,11,integrated_vs_low,1.0,0.33814451226617603,0.20002089550206725,0.19304624205426338,0.2549080093769434,0.4475770324008314,0.19762042452192966,0.16662570551551392,0.18234508667614
0.05,12,wake_vs_deep_sleep,1.0,0.34516344136936866,0.19175299838632204,0.19236011804241032,0.2615474416137379,0.46838613108184235,0.203994142676215,0.16601978934481185,0.18844517479225903
0.05,12,wake_vs_reflex,1.0,0.34516344136936866,0.19175299838632204,0.19236011804241032,0.2615474416137379,0.46838613108184235,0.203994142676215,0.16601978934481185,0.18844517479225903
0.05,12,wake_vs_anxiety,1.0,0.34516344136936866,0.19175299838632204,0.19236011804241032,0.2615474416137379,0.46838613108184235,0.203994142676215,0.16601978934481185,0.18844517479225903
