desenho,n_sujeitos,n_epocas_a,n_epocas_b,razao_epocas,auc_media_sob_nulo,erro_tipo1,ic95_low,ic95_high,n_sim,n_boot
"ANESTESIA (propofol, basal vs moderada, LZc resid. 1/f)",20,755,751,1.0053262316910785,0.507711214852859,0.14,0.11232220101564047,0.17316752432660995,500,1000
"SONO (Sleep-EDF, N3 vs W, LZc resid. 1/f)",36,3972,8923,0.4451417684635212,0.5674208297012008,0.61,0.566563167828306,0.6517594160948953,500,1000
