trial,scenario,frac_arriscada,sucesso_coordenacao,payoff_medio,prob_media_arriscada,P_u_na_decisao,R_a_na_decisao,K_ck_na_decisao,M_medio_na_decisao
60,privado,0.0,False,1.0,0.04949835188131069,0.0,0.0,0.0,1.4543229934577366
61,privado,0.125,False,0.875,0.04978991262611798,0.0,0.0,0.0,1.4550011935258613
62,privado,0.0,False,1.0,0.04721857125102877,0.0,0.0,0.0,1.44941072449364
63,privado,0.0,False,1.0,0.048650552255508815,0.0,0.0,0.0,1.4522724913248688
64,privado,0.25,False,0.75,0.048633493412057055,0.0,0.0,0.0,1.4524654996537856
65,privado,0.0,False,1.0,0.04937763490225604,0.0,0.0,0.0,1.454158639495652
66,privado,0.25,False,0.75,0.05021626154158306,0.0,0.0,0.0,1.4558382031956392
67,privado,0.125,False,0.875,0.050567785179191145,0.0,0.0,0.0,1.4564624867055853
68,privado,0.0,False,1.0,0.05013610786629963,0.0,0.0,0.0,1.4556834525879485
69,privado,0.0,False,1.0,0.04853164276115741,0.0,0.0,0.0,1.4519123088302552
70,privado,0.125,False,0.875,0.050623081549821716,0.0,0.0,0.0,1.4565008295349005
71,privado,0.0,False,1.0,0.04745571357217,0.0,0.0,0.0,1.4498655338970696
72,privado,0.0,False,1.0,0.050844893978925,0.0,0.0,0.0,1.4571754444777216
73,privado,0.125,False,0.875,0.05072260919550998,0.0,0.0,0.0,1.4569348791627492
74,privado,0.0,False,1.0,0.05289424410766798,0.0,0.0,0.0,1.4613803575768918
75,privado,0.0,False,1.0,0.04753552906118265,0.0,0.0,0.0,1.449831865273369
76,privado,0.0,False,1.0,0.05026249156819499,0.0,0.0,0.0,1.4559123928779254
77,privado,0.0,False,1.0,0.04949268042058472,0.0,0.0,0.0,1.4540634923713256
78,privado,0.0,False,1.0,0.05035621766847244,0.0,0.0,0.0,1.4560462187482122
79,privado,0.0,False,1.0,0.049656061801802404,0.0,0.0,0.0,1.454695622767493
0,compartilhado,0.0,False,1.0,0.04878575585986579,1.0,0.0,4.5397868702434395e-05,1.45278865441926
1,compartilhado,0.125,False,0.875,0.047795927067892444,1.0,0.0,4.5397868702434395e-05,1.4505932475779282
2,compartilhado,0.125,False,0.875,0.04802747161794647,1.0,0.0,4.5397868702434395e-05,1.4511081026217658
3,compartilhado,0.0,False,1.0,0.04823865214727767,1.0,0.0,4.5397868702434395e-05,1.451634971672863
4,compartilhado,0.0,False,1.0,0.04938612438875101,1.0,0.0,4.5397868702434395e-05,1.4539682869902628
5,compartilhado,0.0,False,1.0,0.04686614133232227,1.0,0.0,4.5397868702434395e-05,1.4486584557656115
6,compartilhado,0.125,False,0.875,0.048262637612056174,1.0,0.0,4.5397868702434395e-05,1.4514891707852247
7,compartilhado,0.0,False,1.0,0.0473623197216301,1.0,0.0,4.5397868702434395e-05,1.4496542447396052
8,compartilhado,0.0,False,1.0,0.05029420692360747,1.0,0.0,4.5397868702434395e-05,1.4560188622481398
9,compartilhado,0.0,False,1.0,0.04790232117467563,1.0,0.0,4.5397868702434395e-05,1.450914526811626
10,compartilhado,0.0,False,1.0,0.05182073978080438,1.0,0.0,4.5397868702434395e-05,1.459219540458903
11,compartilhado,0.125,False,0.875,0.0492164282644954,1.0,0.0,4.5397868702434395e-05,1.4534468072671745
12,compartilhado,0.0,False,1.0,0.04809077309269588,1.0,0.0,4.5397868702434395e-05,1.4513165964972714
13,compartilhado,0.25,False,0.75,0.050543844630868154,1.0,0.0,4.5397868702434395e-05,1.4565448936440968
14,compartilhado,0.0,False,1.0,0.051656928754350975,1.0,0.0,4.5397868702434395e-05,1.458832014986899
15,compartilhado,0.0,False,1.0,0.051042749464404555,1.0,0.0,4.5397868702434395e-05,1.457206178040956
16,compartilhado,0.125,False,0.875,0.0492781676197194,1.0,0.0,4.5397868702434395e-05,1.4535857056695771
17,compartilhado,0.0,False,1.0,0.05080674746574004,1.0,0.0,4.5397868702434395e-05,1.4568111100859062
18,compartilhado,0.125,False,0.875,0.0484829405280134,1.0,0.0,4.5397868702434395e-05,1.4520852272967102
