w_mb,w_me,w_k,w_r,c_w_psi,c_w_q,c_w_m,c_w_b,auc
0.5417692339891743,0.17555137590082093,0.343439167964553,0.34868401452968195,0.08475961309888458,0.3902489406547024,0.25878749867672,0.28298314989970336,1.0
0.0896795428728821,0.18015437515822685,0.1483192096930325,0.4633824944243009,0.5794786080725981,0.329104645308332,0.15076082760129259,0.08180593984251967,1.0
0.3882093509110843,0.02552690244167013,0.3310524687970329,0.3158321995610324,0.6822789660768365,0.14181038725194736,0.33003732829426713,0.32152360367599114,1.0
0.5448684479516333,0.07785548314078704,0.18668840149081367,0.02190188289361439,0.13886054286079305,0.2732195812969819,0.25321913300865784,0.3483035036763156,1.0
0.22807775069670636,0.14818388241394756,0.18782232451032319,0.09473567954214285,0.11692935480192448,0.19028197049037351,0.0771491786773006,0.24113303808570372,1.0
0.30600634321063147,0.333071278423135,0.2801060408008997,0.15618332069102053,0.749033821255681,0.32190574299872077,0.13174264887025933,0.10379811741488787,1.0
0.4777468527824828,0.05590099344372393,0.07996328099004334,0.003681134875502756,0.7082319397519246,0.2659403426368129,0.23975622873295396,0.28106245116790846,1.0
0.32124104287683797,0.2274964783811575,0.05591879925106298,0.05726503676798672,0.6015626656114245,0.18843848245725303,0.19218027620360423,0.2753995886697692,1.0
0.44430282400041354,0.22143176026319833,0.22368286429816542,0.1519750490313061,0.027736051111145466,0.17468695569294496,0.07295878875863994,0.14707031174086901,1.0
0.5973821512877162,0.0935757943461363,0.02332109667562641,0.14069194601099827,0.26423438199001525,0.264766605890758,0.18939093179603464,0.28220335527830887,1.0
0.4650194782291712,0.16255474457602823,0.3256081538664139,0.08348645995385195,0.02044086582047443,0.036019144310256705,0.24560217920279312,0.16627580289049945,1.0
0.11289024532352125,0.20041791004134543,0.06092484108526737,0.348160187538868,0.40154064801662764,0.152408490438593,0.10251411031027803,0.22690173352279983,1.0
0.2532688273873733,0.0350599677264404,0.04720236084820613,0.48094883227475727,0.8177226216368464,0.2798828535242998,0.09039578689623666,0.3489034958451806,1.0
0.5451256327760562,0.28675607566359823,0.17974460085751548,0.1361207809225795,0.08675186593814936,0.3610409586175367,0.15496393854342777,0.0728508113262829,1.0
0.21416963690545673,0.2316878275767584,0.07070911317569269,0.42830714204618775,0.6826675768516891,0.2877851823803747,0.14691163352353528,0.22583118265287955,1.0
0.40886857823891487,0.259938640621928,0.033777728455955634,0.20790370108530482,0.03745275647570323,0.19759632769780758,0.11215281219314702,0.05202870799177688,1.0
0.07238207740578614,0.23505782887108484,0.06823718741475444,0.4625600591883986,0.5229550257303555,0.13874792181393483,0.2009112671036817,0.0082093935706911,1.0
0.6709914492690117,0.1929213747771601,0.31309409090011453,0.041364999961219284,0.43799249775434435,0.19628279774180837,0.3188609946914942,0.20582209885538713,1.0
0.33144258073986765,0.10679026523675744,0.1326275989370209,0.2603362012357689,0.39502031427454204,0.00864483195213217,0.2809392542260817,0.322617877862316,1.0
0.09817436229902754,0.22161445741561978,0.043430296454177425,0.33612004651990585,0.2531104054551075,0.2637690538767607,0.2471781688575401,0.2767130970903565,1.0
0.07541866216912758,0.3664047380550432,0.09208559635795233,0.01870627808808989,0.49936722245233506,0.1483689135449755,0.2821285126650205,0.29097052994314865,1.0
