param,multiplier,task,auc,value
w_k,0.75,wake_vs_anxiety,1.0,0.15000000000000002
w_k,0.75,wake_vs_nonwake,1.0,0.15000000000000002
w_k,0.75,integrated_vs_low,1.0,0.15000000000000002
w_k,1.0,wake_vs_deep_sleep,1.0,0.2
w_k,1.0,wake_vs_reflex,1.0,0.2
w_k,1.0,wake_vs_anxiety,1.0,0.2
w_k,1.0,wake_vs_nonwake,1.0,0.2
w_k,1.0,integrated_vs_low,1.0,0.2
w_k,1.25,wake_vs_deep_sleep,1.0,0.25
w_k,1.25,wake_vs_reflex,1.0,0.25
w_k,1.25,wake_vs_anxiety,1.0,0.25
w_k,1.25,wake_vs_nonwake,1.0,0.25
w_k,1.25,integrated_vs_low,1.0,0.25
w_k,1.5,wake_vs_deep_sleep,1.0,0.30000000000000004
w_k,1.5,wake_vs_reflex,1.0,0.30000000000000004
w_k,1.5,wake_vs_anxiety,1.0,0.30000000000000004
w_k,1.5,wake_vs_nonwake,1.0,0.30000000000000004
w_k,1.5,integrated_vs_low,1.0,0.30000000000000004
w_k,2.0,wake_vs_deep_sleep,1.0,0.4
w_k,2.0,wake_vs_reflex,1.0,0.4
w_k,2.0,wake_vs_anxiety,1.0,0.4
w_k,2.0,wake_vs_nonwake,1.0,0.4
w_k,2.0,integrated_vs_low,1.0,0.4
w_r,0.0,wake_vs_deep_sleep,1.0,0.0
w_r,0.0,wake_vs_reflex,1.0,0.0
w_r,0.0,wake_vs_anxiety,1.0,0.0
w_r,0.0,wake_vs_nonwake,1.0,0.0
w_r,0.0,integrated_vs_low,1.0,0.0
w_r,0.25,wake_vs_deep_sleep,1.0,0.0625
w_r,0.25,wake_vs_reflex,1.0,0.0625
w_r,0.25,wake_vs_anxiety,1.0,0.0625
w_r,0.25,wake_vs_nonwake,1.0,0.0625
w_r,0.25,integrated_vs_low,1.0,0.0625
w_r,0.5,wake_vs_deep_sleep,1.0,0.125
w_r,0.5,wake_vs_reflex,1.0,0.125
w_r,0.5,wake_vs_anxiety,1.0,0.125
w_r,0.5,wake_vs_nonwake,1.0,0.125
w_r,0.5,integrated_vs_low,1.0,0.125
w_r,0.75,wake_vs_deep_sleep,1.0,0.1875
w_r,0.75,wake_vs_reflex,1.0,0.1875
w_r,0.75,wake_vs_anxiety,1.0,0.1875
w_r,0.75,wake_vs_nonwake,1.0,0.1875
w_r,0.75,integrated_vs_low,1.0,0.1875
w_r,1.0,wake_vs_deep_sleep,1.0,0.25
w_r,1.0,wake_vs_reflex,1.0,0.25
w_r,1.0,wake_vs_anxiety,1.0,0.25
w_r,1.0,wake_vs_nonwake,1.0,0.25
w_r,1.0,integrated_vs_low,1.0,0.25
w_r,1.25,wake_vs_deep_sleep,1.0,0.3125
w_r,1.25,wake_vs_reflex,1.0,0.3125
w_r,1.25,wake_vs_anxiety,1.0,0.3125
w_r,1.25,wake_vs_nonwake,1.0,0.3125
w_r,1.25,integrated_vs_low,1.0,0.3125
w_r,1.5,wake_vs_deep_sleep,1.0,0.375
w_r,1.5,wake_vs_reflex,1.0,0.375
w_r,1.5,wake_vs_anxiety,1.0,0.375
w_r,1.5,wake_vs_nonwake,1.0,0.375
w_r,1.5,integrated_vs_low,1.0,0.375
w_r,2.0,wake_vs_deep_sleep,1.0,0.5
w_r,2.0,wake_vs_reflex,1.0,0.5
w_r,2.0,wake_vs_anxiety,1.0,0.5
w_r,2.0,wake_vs_nonwake,1.0,0.5
w_r,2.0,integrated_vs_low,1.0,0.5
c_w_psi,0.0,wake_vs_deep_sleep,1.0,0.0
c_w_psi,0.0,wake_vs_reflex,1.0,0.0
c_w_psi,0.0,wake_vs_anxiety,0.888888888888889,0.0
c_w_psi,0.0,wake_vs_nonwake,0.9629629629629629,0.0
c_w_psi,0.0,integrated_vs_low,1.0,0.0
c_w_psi,0.25,wake_vs_deep_sleep,1.0,0.1125
c_w_psi,0.25,wake_vs_reflex,1.0,0.1125
c_w_psi,0.25,wake_vs_anxiety,1.0,0.1125
c_w_psi,0.25,wake_vs_nonwake,1.0,0.1125
c_w_psi,0.25,integrated_vs_low,1.0,0.1125
c_w_psi,0.5,wake_vs_deep_sleep,1.0,0.225
c_w_psi,0.5,wake_vs_reflex,1.0,0.225
c_w_psi,0.5,wake_vs_anxiety,1.0,0.225
c_w_psi,0.5,wake_vs_nonwake,1.0,0.225
c_w_psi,0.5,integrated_vs_low,1.0,0.225
c_w_psi,0.75,wake_vs_deep_sleep,1.0,0.3375
c_w_psi,0.75,wake_vs_reflex,1.0,0.3375
c_w_psi,0.75,wake_vs_anxiety,1.0,0.3375
c_w_psi,0.75,wake_vs_nonwake,1.0,0.3375
c_w_psi,0.75,integrated_vs_low,1.0,0.3375
c_w_psi,1.0,wake_vs_deep_sleep,1.0,0.45
c_w_psi,1.0,wake_vs_reflex,1.0,0.45
c_w_psi,1.0,wake_vs_anxiety,1.0,0.45
c_w_psi,1.0,wake_vs_nonwake,1.0,0.45
c_w_psi,1.0,integrated_vs_low,1.0,0.45
c_w_psi,1.25,wake_vs_deep_sleep,1.0,0.5625
c_w_psi,1.25,wake_vs_reflex,1.0,0.5625
c_w_psi,1.25,wake_vs_anxiety,1.0,0.5625
c_w_psi,1.25,wake_vs_nonwake,1.0,0.5625
c_w_psi,1.25,integrated_vs_low,1.0,0.5625
c_w_psi,1.5,wake_vs_deep_sleep,1.0,0.675
c_w_psi,1.5,wake_vs_reflex,1.0,0.675
c_w_psi,1.5,wake_vs_anxiety,1.0,0.675
c_w_psi,1.5,wake_vs_nonwake,1.0,0.675
c_w_psi,1.5,integrated_vs_low,1.0,0.675
c_w_psi,2.0,wake_vs_deep_sleep,1.0,0.9
c_w_psi,2.0,wake_vs_reflex,1.0,0.9
c_w_psi,2.0,wake_vs_anxiety,1.0,0.9
c_w_psi,2.0,wake_vs_nonwake,1.0,0.9
c_w_psi,2.0,integrated_vs_low,1.0,0.9
c_w_q,0.0,wake_vs_deep_sleep,1.0,0.0
c_w_q,0.0,wake_vs_reflex,1.0,0.0
c_w_q,0.0,wake_vs_anxiety,1.0,0.0
c_w_q,0.0,wake_vs_nonwake,1.0,0.0
c_w_q,0.0,integrated_vs_low,1.0,0.0
c_w_q,0.25,wake_vs_deep_sleep,1.0,0.05
c_w_q,0.25,wake_vs_reflex,1.0,0.05
c_w_q,0.25,wake_vs_anxiety,1.0,0.05
c_w_q,0.25,wake_vs_nonwake,1.0,0.05
c_w_q,0.25,integrated_vs_low,1.0,0.05
c_w_q,0.5,wake_vs_deep_sleep,1.0,0.1
c_w_q,0.5,wake_vs_reflex,1.0,0.1
c_w_q,0.5,wake_vs_anxiety,1.0,0.1
c_w_q,0.5,wake_vs_nonwake,1.0,0.1
c_w_q,0.5,integrated_vs_low,1.0,0.1
c_w_q,0.75,wake_vs_deep_sleep,1.0,0.15000000000000002
c_w_q,0.75,wake_vs_reflex,1.0,0.15000000000000002
c_w_q,0.75,wake_vs_anxiety,1.0,0.15000000000000002
