t,scenario,C_base,S,C_hum,M_r,P_u,R_a
0.0,privado,0.07883826986690814,0.0,0.07883826986690814,0.0,0.0,0.0
0.1,privado,0.07948687175462847,0.0,0.07948687175462847,0.0,0.0,0.0
0.2,privado,0.08016552887212404,0.0,0.08016552887212404,0.0,0.0,0.0
0.30000000000000004,privado,0.08087894129600859,0.0,0.08087894129600859,0.0,0.0,0.0
0.4,privado,0.08160523870698881,0.0,0.08160523870698881,0.0,0.0,0.0
0.5,privado,0.5120460782865166,0.0,0.5120460782865166,0.0,0.0,0.0
0.6000000000000001,privado,0.48624039138267666,0.0,0.48624039138267666,0.0,0.0,0.0
0.7000000000000001,privado,0.5031933044196999,0.0,0.5031933044196999,0.0,0.0,0.0
0.8,privado,0.5162962015961569,0.0,0.5162962015961569,0.0,0.0,0.0
0.9,privado,0.5247392508830724,0.0,0.5247392508830724,0.0,0.0,0.0
1.0,privado,0.5288095012424958,0.0,0.5288095012424958,0.0,0.0,0.0
1.1,privado,0.5339251181293067,0.0,0.5339251181293067,0.0,0.0,0.0
1.2000000000000002,privado,0.5343030226786762,0.0,0.5343030226786762,0.0,0.0,0.0
1.3,privado,0.5377471212208607,0.0,0.5377471212208607,0.0,0.0,0.0
1.4000000000000001,privado,0.5393938277972415,0.0,0.5393938277972415,0.0,0.0,0.0
1.5,privado,0.5381976476749083,0.0,0.5381976476749083,0.0,0.0,0.0
1.6,privado,0.5349751913004678,0.0,0.5349751913004678,0.0,0.0,0.0
1.7000000000000002,privado,0.5297283460189268,0.0,0.5297283460189268,0.0,0.0,0.0
1.8,privado,0.52583389611695,0.0,0.52583389611695,0.0,0.0,0.0
1.9000000000000001,privado,0.5259614097762618,0.0,0.5259614097762618,0.0,0.0,0.0
2.0,privado,0.5237335234886866,0.0,0.5237335234886866,0.0,0.0,0.0
2.1,privado,0.5165601155988689,0.0,0.5165601155988689,0.0,0.0,0.0
2.2,privado,0.49424457133856486,0.0,0.49424457133856486,0.0,0.0,0.0
2.3000000000000003,privado,0.49999271907652326,0.0,0.49999271907652326,0.0,0.0,0.0
2.4000000000000004,privado,0.49844811739385864,0.0,0.49844811739385864,0.0,0.0,0.0
2.5,privado,0.5150178625570834,0.0,0.5150178625570834,0.0,0.0,0.0
2.6,privado,0.5083981699670193,0.0,0.5083981699670193,0.0,0.0,0.0
2.7,privado,0.5102703342009922,0.0,0.5102703342009922,0.0,0.0,0.0
2.8000000000000003,privado,0.510419055877852,0.0,0.510419055877852,0.0,0.0,0.0
2.9000000000000004,privado,0.5165966573771121,0.0,0.5165966573771121,0.0,0.0,0.0
3.0,privado,0.5188011755501151,0.0,0.5188011755501151,0.0,0.0,0.0
3.1,privado,0.5132478169085734,0.0,0.5132478169085734,0.0,0.0,0.0
3.2,privado,0.5098559781722503,0.0,0.5098559781722503,0.0,0.0,0.0
3.3000000000000003,privado,0.5118168122011244,0.0,0.5118168122011244,0.0,0.0,0.0
3.4000000000000004,privado,0.5195912921529168,0.0,0.5195912921529168,0.0,0.0,0.0
3.5,privado,0.5219305829266566,0.0,0.5219305829266566,0.0,0.0,0.0
3.6,privado,0.5119477905304574,0.0,0.5119477905304574,0.0,0.0,0.0
3.7,privado,0.5029329941157205,0.0,0.5029329941157205,0.0,0.0,0.0
3.8000000000000003,privado,0.4953605320203996,0.0,0.4953605320203996,0.0,0.0,0.0
3.9000000000000004,privado,0.4946958005652891,0.0,0.4946958005652891,0.0,0.0,0.0
4.0,privado,0.4824015621567686,0.0,0.4824015621567686,0.0,0.0,0.0
4.1000000000000005,privado,0.4955762927682354,0.0,0.4955762927682354,0.0,0.0,0.0
4.2,privado,0.5183464269431833,0.0,0.5183464269431833,0.0,0.0,0.0
4.3,privado,0.53415740617964,0.0,0.53415740617964,0.0,0.0,0.0
4.4,privado,0.5539843412935036,0.0,0.5539843412935036,0.0,0.0,0.0
4.5,privado,0.566150643397025,0.0,0.566150643397025,0.0,0.0,0.0
4.6000000000000005,privado,0.5766927427433474,0.0,0.5766927427433474,0.0,0.0,0.0
4.7,privado,0.5815293181458975,0.0,0.5815293181458975,0.0,0.0,0.0
4.800000000000001,privado,0.5802659854563813,0.0,0.5802659854563813,0.0,0.0,0.0
4.9,privado,0.5783673016712245,0.0,0.5783673016712245,0.0,0.0,0.0
5.0,privado,0.5853488268427688,0.0,0.5853488268427688,0.0,0.0,0.0
5.1000000000000005,privado,0.5937265572407214,0.0,0.5937265572407214,0.0,0.0,0.0
5.2,privado,0.5954582281894877,0.0,0.5954582281894877,0.0,0.0,0.0
5.300000000000001,privado,0.5851481089600378,0.0,0.5851481089600378,0.0,0.0,0.0
5.4,privado,0.5656791209108692,0.0,0.5656791209108692,0.0,0.0,0.0
5.5,privado,0.5558277955928078,0.0,0.5558277955928078,0.0,0.0,0.0
5.6000000000000005,privado,0.5529751950361617,0.0,0.5529751950361617,0.0,0.0,0.0
5.7,privado,0.568047311042795,0.0,0.568047311042795,0.0,0.0,0.0
5.800000000000001,privado,0.5776286383721204,0.0,0.5776286383721204,0.0,0.0,0.0
5.9,privado,0.5747884679784183,0.0,0.5747884679784183,0.0,0.0,0.0
6.0,privado,0.5685210461420882,0.0,0.5685210461420882,0.0,0.0,0.0
6.1000000000000005,privado,0.5687723116288206,0.0,0.5687723116288206,0.0,0.0,0.0
