regime,mean_baseline_n10_T28,std_baseline_n10_T28,mean_reforcado_n40_T60,std_reforcado_n40_T60
anxiety,0.5170837474067921,0.008260467053355166,0.5370673307052908,0.022608341271234317
deep_sleep,0.375440516014868,0.013485476195407523,0.33999625783521104,0.023254856412354776
reflex,0.31829654246781935,0.011531250758123739,0.2761532131151877,0.011047992535351665
wake,0.5916010093391618,0.00950879557049272,0.6244832712010744,0.019066781427408194
