variant,regime,run_id,C_idx_mean,Psi_eff_mean,B_mean,Q_mean,K_mean,R_mean,M_final,level_mode
full,wake,0,0.6387471632548621,0.4684609903125017,0.8755441959786996,0.8997409302961193,0.015050600220095052,0.8126461522324188,2.0,4
full,wake,1,0.5978018878539897,0.4141001293664812,0.7858457495777794,0.8975080681477273,0.02509512041035354,0.7371722517301095,2.0,4
full,wake,2,0.6381049345885699,0.4743514543853799,0.8620455391097905,0.895955730432752,0.02470746984683004,0.8128524167545716,2.0,4
full,wake,3,0.6373894043205769,0.473780847177239,0.8566535925343639,0.8982716133069677,0.028523591735254848,0.7882496973183029,2.0,4
full,wake,4,0.6129277786752709,0.4201714652345554,0.8491268980859934,0.9014070890535142,0.03246338379725421,0.834586647988607,2.0,4
full,wake,5,0.6316326803999723,0.4389305846458793,0.9035611212077926,0.9032363838811748,0.02531822496402519,0.8077859391626915,2.0,4
full,wake,6,0.5536688857792772,0.3340817865981946,0.7495592516896455,0.8896248933503698,0.02069226305523591,0.8192149012406491,1.9727156106869193,3
full,wake,7,0.624234438061498,0.4543944835839703,0.8387348935276727,0.8931854885377865,0.019357236147178408,0.8278753338640596,2.0,4
full,wake,8,0.6453567390407561,0.4857399915242968,0.8694915415439666,0.8991740334420982,0.05381118972436236,0.8092610230785598,2.0,4
full,wake,9,0.61962090924011,0.4242140885468482,0.8767820722748885,0.9006209851854815,0.05487559470840142,0.7602475584381703,2.0,4
full,wake,10,0.6375624793861446,0.46981119281763106,0.8671128247961112,0.8983438876482118,0.02470927378557838,0.7565213259694968,2.0,4
full,wake,11,0.6022175587990827,0.4020797986144982,0.8348273805855183,0.9009374184954443,0.01802621048350785,0.8238090965635017,2.0,4
full,wake,12,0.6396834845845736,0.4744301215879972,0.866167420827631,0.8993212483415967,0.01983369440517214,0.8026515131432563,2.0,4
full,wake,13,0.6330800058576314,0.4533400589376476,0.8817963633305169,0.8995281032230027,0.052840093579011274,0.7550672082432136,2.0,4
full,wake,14,0.6192195881949875,0.4497333340388144,0.8244360821150903,0.8915324621989484,0.0287291262153798,0.7978697262069803,1.998754966656265,4
full,wake,15,0.6315546528774865,0.44490527666049406,0.8864515093797066,0.9044318449669273,0.0528681408640596,0.8169208276433387,2.0,4
full,wake,16,0.6446757805942084,0.48297877616165485,0.8763895192185176,0.8964825703370021,0.03429336117266829,0.8015379246642539,2.0,4
full,wake,17,0.5877451602614081,0.40197117864501086,0.7642807485761212,0.8946794994747033,0.013461421618855903,0.7909115743728689,1.9957223125339232,4
full,wake,18,0.6031688042069173,0.40940888755050486,0.8253819133339331,0.8987236088236827,0.02785655153997233,0.8127975988119918,2.0,4
full,wake,19,0.6439874291884251,0.4812677966796385,0.8745340040794829,0.898212532523187,0.06003865922483505,0.7862074885504505,2.0,4
full,wake,20,0.6102637575071111,0.43025355586976133,0.8130756294713102,0.898636272299212,0.020763492409963138,0.8166295850803273,2.0,4
full,wake,21,0.6272239060397603,0.4514107261803118,0.8541106563907992,0.8991595730956753,0.0330334424336558,0.7840529563872857,2.0,4
full,wake,22,0.6380929112976322,0.46649928619054815,0.8731260425242181,0.9016812385996344,0.042821648770892014,0.7978672561303517,2.0,4
full,wake,23,0.6313431561994544,0.46383191050673633,0.8484754155435117,0.8973031854707852,0.042489094533859594,0.7519167175032169,2.0,4
full,wake,24,0.648739006923205,0.49343842428208706,0.8697483024654215,0.898739286060465,0.09468446845098195,0.8214070657879046,2.0,4
full,wake,25,0.616911661921453,0.44282528930658166,0.8230689978184532,0.8959263432476392,0.02031865015688147,0.8071928481118956,2.0,4
full,wake,26,0.6319909697469359,0.46070013305142804,0.858209258959649,0.8989424770648958,0.034701038689575914,0.7737913797164085,2.0,4
full,wake,27,0.6260161817645028,0.46347634999697873,0.8259200580440555,0.8932607492831394,0.028456297735048916,0.7991756973137243,2.0,4
